Index       V(VI)           V(SUPPLY)          V(OUT)            I(VDD)           I(VINPUT)    
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-01    0.00000000e+00    9.82236656e-09    1.29873259e-14   -2.72962512e-14
2        2.00000000e-01    0.00000000e+00    6.87820302e-10    1.94802069e-14   -4.41761300e-14
3        3.00000000e-01    0.00000000e+00    1.11180708e-10    1.83627040e-14   -5.12540114e-14
4        4.00000000e-01    0.00000000e+00    6.20641726e-11    1.52620226e-14   -6.58879342e-14
5        5.00000000e-01    0.00000000e+00    6.26762437e-11    1.24409172e-14   -1.00940436e-13
6        6.00000000e-01    0.00000000e+00    8.44604798e-11    1.04295101e-14   -1.72660082e-13
7        7.00000000e-01    0.00000000e+00    1.30500665e-10    9.22237906e-15   -3.09581500e-13
8        8.00000000e-01    0.00000000e+00    2.16091427e-10    8.73273525e-15   -5.66019085e-13
9        9.00000000e-01    0.00000000e+00    3.73246517e-10    8.94173909e-15   -1.04789721e-12
10       1.00000000e+00    0.00000000e+00    6.65718452e-10    9.96658706e-15   -1.96586103e-12
11       0.00000000e+00    1.00000000e-01    7.76770294e-03   -3.45288904e-10    1.33272519e-14
12       1.00000000e-01    1.00000000e-01    8.49113136e-06   -1.17828920e-11   -1.43079461e-14
13       2.00000000e-01    1.00000000e-01    1.30076130e-08   -3.82638668e-13   -3.76831211e-14
14       3.00000000e-01    1.00000000e-01    1.68809894e-10    6.19674160e-15   -5.23715082e-14
15       4.00000000e-01    1.00000000e-01    7.06249399e-11    1.38186214e-14   -6.89886152e-14
16       5.00000000e-01    1.00000000e-01    6.83192899e-11    1.07179548e-14   -1.03761541e-13
17       6.00000000e-01    1.00000000e-01    8.89060353e-11    7.89683479e-15   -1.74671475e-13
18       7.00000000e-01    1.00000000e-01    1.34331615e-10    5.88545583e-15   -3.10788645e-13
19       8.00000000e-01    1.00000000e-01    2.19650711e-10    4.56097692e-15   -5.66508714e-13
20       9.00000000e-01    1.00000000e-01    3.78048967e-10    1.99124242e-15   -1.04768821e-12
21       1.00000000e+00    1.00000000e-01    6.74787566e-10   -4.44862454e-15   -1.96483618e-12
22       0.00000000e+00    2.00000000e-01    1.93938275e-01   -2.07343864e-09    4.17056730e-14
23       1.00000000e-01    2.00000000e-01    2.93830555e-04   -4.06299109e-10   -1.27769775e-15
24       2.00000000e-01    2.00000000e-01    4.32117317e-07   -1.38544294e-11   -2.46959890e-14
25       3.00000000e-01    2.00000000e-01    2.15972291e-09   -4.59199172e-13   -4.58785014e-14
26       4.00000000e-01    2.00000000e-01    9.23823329e-11    3.38715581e-15   -7.01061122e-14
27       5.00000000e-01    2.00000000e-01    6.86910156e-11    1.35193354e-14   -1.06862222e-13
28       6.00000000e-01    2.00000000e-01    8.91989013e-11    1.04186694e-14   -1.77492580e-13
29       7.00000000e-01    2.00000000e-01    1.34583933e-10    7.59755981e-15   -3.12800038e-13
30       8.00000000e-01    2.00000000e-01    2.20496711e-10    4.65992618e-15   -5.67715859e-13
31       9.00000000e-01    2.00000000e-01    3.89052897e-10   -1.29659493e-14   -1.04817784e-12
32       1.00000000e+00    2.00000000e-01    7.16290244e-10   -6.59363213e-14   -1.96462719e-12
33       0.00000000e+00    3.00000000e-01    2.99725050e-01   -2.70068241e-09    6.49598552e-14
34       1.00000000e-01    3.00000000e-01    1.12483216e-02   -1.30700851e-08    7.08214337e-15
35       2.00000000e-01    3.00000000e-01    1.43571346e-05   -4.60950219e-10   -1.17043105e-14
36       3.00000000e-01    3.00000000e-01    6.94290069e-08   -1.59776642e-11   -3.28913998e-14
37       4.00000000e-01    3.00000000e-01    1.10524455e-09   -5.40738134e-13   -6.36131068e-14
38       5.00000000e-01    3.00000000e-01    8.65073001e-11    2.90228869e-16   -1.07979719e-13
39       6.00000000e-01    3.00000000e-01    8.93577504e-11    1.33569518e-14   -1.80593261e-13
