i,  t, Vdd, Vin, Vout, Ivdd, Ivin
1,                    0,                    1,                    0,             0.999988,          1.25884e-08,         -2.37032e-13
2,                1e-08,                    1,                    0,             0.999988,          1.26709e-08,          7.37444e-08
3,                2e-08,                    1,                  0.1,             0.999755,          2.22917e-07,          9.16785e-09
4,                3e-08,                    1,                  0.2,             0.995703,          3.30776e-06,          1.00992e-08
5,                4e-08,                    1,                  0.3,             0.961463,           2.2444e-05,          1.29334e-08
6,                5e-08,                    1,                  0.4,             0.597919,          6.15157e-05,          2.78771e-08
7,                6e-08,                    1,                  0.5,            0.0373947,          2.82676e-05,          2.23984e-08
8,                7e-08,                    1,                  0.6,           0.00622499,          6.32561e-06,           1.6965e-08
9,                8e-08,                    1,                  0.7,           0.00047172,          5.59363e-07,          1.82325e-08
10,                9e-08,                    1,                  0.8,          2.03203e-05,          2.66124e-08,          9.76547e-09
11,                1e-07,                    1,                  0.9,          7.52333e-07,           4.2337e-10,          6.95517e-09
12,              1.1e-07,                    1,                    1,          3.05798e-08,           4.2337e-10,          6.84892e-09
13,              1.2e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
14,              1.3e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
15,              1.4e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
16,              1.5e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
17,              1.6e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
18,              1.7e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
19,              1.8e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
20,              1.9e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
21,                2e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
22,              2.1e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
23,              2.2e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
24,              2.3e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
25,              2.4e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
26,              2.5e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
27,              2.6e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
28,              2.7e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
29,              2.8e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
30,              2.9e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
31,                3e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
32,              3.1e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
33,              3.2e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
34,              3.3e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
35,              3.4e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
36,              3.5e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
37,              3.6e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
38,              3.7e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
39,              3.8e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
40,              3.9e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
41,                4e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
42,              4.1e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
43,              4.2e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
44,              4.3e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
45,              4.4e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
46,              4.5e-07,                    1,                    1,          3.05802e-08,           4.2337e-10,         -2.89185e-11
