Index       TIME             V(VDD)            V(VIN)           V(VOUT1)          V(VOUT2)          V(VOUT3)          V(VOUT4)          V(VOUT5)          V(VOUT6)          V(VOUT7)          V(VOUT8)          V(VOUT9)          V(VOUT10)         V(VOUT11)         V(VOUT12)         {-I(VDD)}       {-I(VINPUT)}   
0        0.00000000e+00    1.00000000e+00    0.00000000e+00    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.05905256e-08    7.63033409e-08   -2.37031712e-13
1        1.00000000e-08    1.00000000e+00    0.00000000e+00    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510634e-08    9.99987734e-01    3.07510629e-08    9.99987734e-01    3.07510634e-08    9.99987734e-01    3.05905255e-08    7.63033409e-08   -2.37031710e-13
2        2.00000000e-08    1.00000000e+00    1.00000000e-01    9.99751316e-01    1.63907689e-08    9.99987734e-01    3.07510646e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510632e-08    9.99987734e-01    3.07510628e-08    9.99987734e-01    3.05905256e-08    2.86360385e-07    8.03806708e-09
3        3.00000000e-08    1.00000000e+00    2.00000000e-01    9.95354101e-01   -1.50790833e-07    9.99987734e-01    3.07510638e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510633e-08    9.99987734e-01    3.05905253e-08    3.60351098e-06    8.45217211e-09
4        4.00000000e-08    1.00000000e+00    3.00000000e-01    9.56328837e-01   -1.53665216e-06    9.99987734e-01    3.07510776e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.05905257e-08    2.38090199e-05    1.11304235e-08
5        5.00000000e-08    1.00000000e+00    4.00000000e-01    6.00986194e-01    6.22596721e-03    9.99994013e-01    3.52786423e-08    9.99987734e-01    3.07510365e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.05905258e-08    6.78348256e-05    3.60827032e-08
6        6.00000000e-08    1.00000000e+00    5.00000000e-01    3.88206083e-02    9.99953151e-01    2.07952081e-06    9.99987898e-01   -1.17080835e-07    9.99987673e-01    2.77550340e-08    9.99987748e-01    4.97763702e-08    9.99987798e-01    1.15669886e-07    9.99987923e-01    2.85303413e-05    1.00154542e-08
7        7.00000000e-08    1.00000000e+00    6.00000000e-01    7.29414392e-03    9.99982720e-01    1.04237923e-06    9.99987815e-01   -4.23024157e-08    9.99987704e-01    2.92677752e-08    9.99987741e-01    4.01587987e-08    9.99987765e-01    7.27353162e-08    9.99987828e-01    7.15494065e-06    8.23824712e-09
8        8.00000000e-08    1.00000000e+00    7.00000000e-01    1.35982459e-03    9.99987444e-01   -1.91966577e-07    9.99987716e-01    4.68373464e-08    9.99987740e-01    3.10759934e-08    9.99987732e-01    2.86832228e-08    9.99987727e-01    2.15186552e-08    9.99987715e-01    1.57192205e-06    7.06211614e-09
9        9.00000000e-08    1.00000000e+00    8.00000000e-01    4.64168227e-05    9.99984555e-01    2.40820050e-06    9.99987927e-01   -1.41013891e-07    9.99987663e-01    2.72390602e-08    9.99987750e-01    5.29247062e-08    9.99987808e-01    1.29645490e-07    9.99987953e-01   -1.23592983e-08    6.56864396e-09
10       1.00000000e-07    1.00000000e+00    9.00000000e-01    3.94494557e-06    9.99993647e-01   -4.42165010e-06    9.99987371e-01    3.52450687e-07    9.99987866e-01    3.73393928e-08    9.99987703e-01   -1.08016280e-08    9.99987594e-01   -1.54547487e-07    9.99987328e-01    3.46644391e-07    7.13194144e-09
11       1.10000000e-07    1.00000000e+00    1.00000000e+00    1.65192371e-06    9.99981262e-01    4.90281208e-06    9.99988131e-01   -3.21286523e-07    9.99987589e-01    2.35311581e-08    9.99987767e-01    7.62450411e-08    9.99987886e-01    2.33599900e-07    9.99988182e-01   -2.20170159e-07    6.52296888e-09
12       1.20000000e-07    1.00000000e+00    1.00000000e+00    3.07389985e-08    9.99987734e-01    3.07495883e-08    9.99987734e-01    3.07510399e-08    9.99987734e-01    3.07510609e-08    9.99987734e-01    3.07510712e-08    9.99987734e-01    3.07510722e-08    9.99987736e-01    7.63013762e-08    1.95564660e-12
13       1.30000000e-07    1.00000000e+00    1.00000000e+00    3.07413776e-08    9.99987734e-01    3.07527666e-08    9.99987734e-01    3.07510898e-08    9.99987734e-01    3.07510655e-08    9.99987734e-01    3.07510536e-08    9.99987734e-01    3.07510524e-08    9.99987736e-01    7.63013852e-08    1.95618078e-12
