Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
0        0.00000000e+00    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37031713e-13
1        1.00000000e-08    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37031651e-13
2        2.00000000e-08    1.00000000e+00    1.00000000e-01    9.99657384e-01    2.99513858e-07    8.05426002e-09
3        3.00000000e-08    1.00000000e+00    2.00000000e-01    9.95568199e-01    3.38577164e-06    8.35333087e-09
4        4.00000000e-08    1.00000000e+00    3.00000000e-01    9.61105327e-01    2.25315951e-05    1.13170997e-08
5        5.00000000e-08    1.00000000e+00    4.00000000e-01    5.98475761e-01    6.14916147e-05    3.64083886e-08
6        6.00000000e-08    1.00000000e+00    5.00000000e-01    3.77182315e-02    2.83360353e-05    1.01257733e-08
7        7.00000000e-08    1.00000000e+00    6.00000000e-01    6.69076416e-03    6.62364299e-06    8.84307998e-09
8        8.00000000e-08    1.00000000e+00    7.00000000e-01    6.75894636e-04    7.74262813e-07    6.90350858e-09
9        9.00000000e-08    1.00000000e+00    8.00000000e-01    2.54579238e-05    2.95334302e-08    6.11213048e-09
10       1.00000000e-07    1.00000000e+00    9.00000000e-01    4.40963706e-06    1.45276182e-09    7.15015655e-09
11       1.10000000e-07    1.00000000e+00    1.00000000e+00    2.93389070e-06   -7.49401951e-10    7.53197170e-09
12       1.20000000e-07    1.00000000e+00    1.00000000e+00    3.05801168e-08    4.41676796e-11    1.95686379e-12
13       1.30000000e-07    1.00000000e+00    1.00000000e+00    3.05790626e-08    4.41676596e-11    1.95500958e-12
14       1.40000000e-07    1.00000000e+00    1.00000000e+00    3.05787795e-08    4.41676542e-11    1.95451143e-12
15       1.50000000e-07    1.00000000e+00    1.00000000e+00    3.05800450e-08    4.41676782e-11    1.95673718e-12
16       1.60000000e-07    1.00000000e+00    1.00000000e+00    3.05809969e-08    4.41676962e-11    1.95841142e-12
17       1.70000000e-07    1.00000000e+00    1.00000000e+00    3.05803641e-08    4.41676843e-11    1.95729857e-12
18       1.80000000e-07    1.00000000e+00    1.00000000e+00    3.05797313e-08    4.41676723e-11    1.95618573e-12
19       1.90000000e-07    1.00000000e+00    1.00000000e+00    3.05790986e-08    4.41676603e-11    1.95507288e-12
20       2.00000000e-07    1.00000000e+00    1.00000000e+00    3.05784658e-08    4.41676483e-11    1.95396003e-12
21       2.10000000e-07    1.00000000e+00    1.00000000e+00    3.05781286e-08    4.41676419e-11    1.95336703e-12
22       2.20000000e-07    1.00000000e+00    1.00000000e+00    3.05784450e-08    4.41676479e-11    1.95392345e-12
23       2.30000000e-07    1.00000000e+00    1.00000000e+00    3.05787614e-08    4.41676539e-11    1.95447987e-12
24       2.40000000e-07    1.00000000e+00    1.00000000e+00    3.05790778e-08    4.41676599e-11    1.95503628e-12
25       2.50000000e-07    1.00000000e+00    1.00000000e+00    3.05793942e-08    4.41676659e-11    1.95559270e-12
26       2.60000000e-07    1.00000000e+00    1.00000000e+00    3.05797106e-08    4.41676719e-11    1.95614912e-12
27       2.70000000e-07    1.00000000e+00    1.00000000e+00    3.05800270e-08    4.41676779e-11    1.95670553e-12
28       2.80000000e-07    1.00000000e+00    1.00000000e+00    3.05803434e-08    4.41676838e-11    1.95726195e-12
29       2.90000000e-07    1.00000000e+00    1.00000000e+00    3.05806598e-08    4.41676898e-11    1.95781837e-12
30       3.00000000e-07    1.00000000e+00    1.00000000e+00    3.05809762e-08    4.41676958e-11    1.95837478e-12
31       3.10000000e-07    1.00000000e+00    1.00000000e+00    3.05809778e-08    4.41676959e-11    1.95837773e-12
32       3.20000000e-07    1.00000000e+00    1.00000000e+00    3.05807731e-08    4.41676920e-11    1.95801764e-12
33       3.30000000e-07    1.00000000e+00    1.00000000e+00    3.05805683e-08    4.41676881e-11    1.95765754e-12
34       3.40000000e-07    1.00000000e+00    1.00000000e+00    3.05803635e-08    4.41676842e-11    1.95729745e-12
35       3.50000000e-07    1.00000000e+00    1.00000000e+00    3.05801588e-08    4.41676804e-11    1.95693736e-12
36       3.60000000e-07    1.00000000e+00    1.00000000e+00    3.05799540e-08    4.41676765e-11    1.95657726e-12
37       3.70000000e-07    1.00000000e+00    1.00000000e+00    3.05797492e-08    4.41676726e-11    1.95621717e-12
38       3.80000000e-07    1.00000000e+00    1.00000000e+00    3.05795445e-08    4.41676687e-11    1.95585708e-12
39       3.90000000e-07    1.00000000e+00    1.00000000e+00    3.05793397e-08    4.41676649e-11    1.95549699e-12
40       4.00000000e-07    1.00000000e+00    1.00000000e+00    3.05791349e-08    4.41676610e-11    1.95513689e-12
41       4.10000000e-07    1.00000000e+00    1.00000000e+00    3.05789302e-08    4.41676571e-11    1.95477680e-12
42       4.20000000e-07    1.00000000e+00    1.00000000e+00    3.05787254e-08    4.41676533e-11    1.95441671e-12
43       4.30000000e-07    1.00000000e+00    1.00000000e+00    3.05785206e-08    4.41676494e-11    1.95405661e-12
