Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
0        0.00000000e+00    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22658626e-13
1        1.00000000e-08    9.00000000e-01    0.00000000e+00    8.99988624e-01    1.03681710e-08   -2.22658601e-13
2        2.00000000e-08    9.00000000e-01    1.00000000e-01    8.99676407e-01    2.39095312e-07    7.88972139e-09
3        3.00000000e-08    9.00000000e-01    2.00000000e-01    8.94899338e-01    3.08598189e-06    8.26529116e-09
4        4.00000000e-08    9.00000000e-01    3.00000000e-01    8.43910461e-01    2.12587970e-05    1.20024324e-08
5        5.00000000e-08    9.00000000e-01    4.00000000e-01    6.41800822e-02    2.74998737e-05    1.12686660e-08
6        6.00000000e-08    9.00000000e-01    5.00000000e-01    8.29699316e-03    6.39908424e-06    8.08323888e-09
7        7.00000000e-08    9.00000000e-01    6.00000000e-01    8.93431715e-04    8.42185278e-07    6.82044526e-09
8        8.00000000e-08    9.00000000e-01    7.00000000e-01    2.90385639e-05    2.94741877e-08    6.56347623e-09
9        9.00000000e-08    9.00000000e-01    8.00000000e-01    3.71780138e-06    5.88774203e-10    6.74589179e-09
10       1.00000000e-07    9.00000000e-01    9.00000000e-01    2.47495171e-06   -7.42690383e-10    6.78574295e-09
11       1.10000000e-07    9.00000000e-01    1.00000000e+00    2.43839908e-06   -7.87982584e-10    6.93680924e-09
12       1.20000000e-07    9.00000000e-01    1.00000000e+00    3.38769118e-09    4.00601900e-12    1.96885157e-12
13       1.30000000e-07    9.00000000e-01    1.00000000e+00    3.38772016e-09    4.00601944e-12    1.96890263e-12
14       1.40000000e-07    9.00000000e-01    1.00000000e+00    3.38771605e-09    4.00601937e-12    1.96889531e-12
15       1.50000000e-07    9.00000000e-01    1.00000000e+00    3.38769899e-09    4.00601910e-12    1.96886516e-12
16       1.60000000e-07    9.00000000e-01    1.00000000e+00    3.38769074e-09    4.00601896e-12    1.96885060e-12
17       1.70000000e-07    9.00000000e-01    1.00000000e+00    3.38769926e-09    4.00601910e-12    1.96886568e-12
18       1.80000000e-07    9.00000000e-01    1.00000000e+00    3.38770777e-09    4.00601923e-12    1.96888076e-12
19       1.90000000e-07    9.00000000e-01    1.00000000e+00    3.38771629e-09    4.00601936e-12    1.96889583e-12
