Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}       {-I(VGATE)}       {-I(VBULK)}      {-I(VSOURCE)}  
0        0.00000000e+00    0.00000000e+00   -0.00000000e+00   -0.00000000e+00   -0.00000000e+00   -0.00000000e+00
1        1.00000000e-01    0.00000000e+00    1.60193944e-09   -6.57977825e-16   -1.41547741e-14   -1.60192463e-09
2        2.00000000e-01    0.00000000e+00    2.10567247e-09   -2.46665286e-15   -3.08255867e-13   -2.10536175e-09
3        3.00000000e-01    0.00000000e+00    2.70244619e-09   -5.42941793e-15   -1.66332511e-12   -2.70077743e-09
4        4.00000000e-01    0.00000000e+00    3.44170867e-09   -9.83228546e-15   -5.15906870e-12   -3.43653977e-09
5        5.00000000e-01    0.00000000e+00    4.35172840e-09   -1.62904094e-14   -1.17013293e-11   -4.34001078e-09
6        6.00000000e-01    0.00000000e+00    5.46312307e-09   -2.58913909e-14   -2.15912732e-11   -5.44150591e-09
7        7.00000000e-01    0.00000000e+00    6.81002246e-09   -4.04858443e-14   -3.44416724e-11   -6.77554030e-09
8        8.00000000e-01    0.00000000e+00    8.43070481e-09   -6.32310862e-14   -4.94460866e-11   -8.38119549e-09
9        9.00000000e-01    0.00000000e+00    1.03682882e-08   -9.96016852e-14   -6.57367589e-11   -1.03024518e-08
10       1.00000000e+00    0.00000000e+00    1.26713041e-08   -1.59293913e-13   -8.26119055e-11   -1.25885329e-08
11       0.00000000e+00    1.00000000e-01   -6.60936514e-16    1.32187303e-15  -3.55540293e-144   -6.60936514e-16
12       1.00000000e-01    1.00000000e-01    4.33158512e-08    6.60426452e-16   -3.89923034e-91   -4.33158519e-08
13       2.00000000e-01    1.00000000e-01    5.44321295e-08    2.47475192e-18   -1.11726680e-13   -5.44320178e-08
14       3.00000000e-01    1.00000000e-01    6.64625541e-08   -1.80593139e-15   -1.00289929e-12   -6.64615494e-08
15       4.00000000e-01    1.00000000e-01    8.04618312e-08   -4.76831549e-15   -3.68408392e-12   -8.04581423e-08
16       5.00000000e-01    1.00000000e-01    9.67434811e-08   -9.17071607e-15   -9.09289324e-12   -9.67343790e-08
17       6.00000000e-01    1.00000000e-01    1.15595423e-07   -1.56282926e-14   -1.76500795e-11   -1.15577757e-07
18       7.00000000e-01    1.00000000e-01    1.37318744e-07   -2.52286448e-14   -2.91208764e-11   -1.37289598e-07
19       8.00000000e-01    1.00000000e-01    1.62232422e-07   -3.98223835e-14   -4.28259833e-11   -1.62189556e-07
20       9.00000000e-01    1.00000000e-01    1.90674263e-07   -6.25668196e-14   -5.79719953e-11   -1.90616228e-07
21       1.00000000e+00    1.00000000e-01    2.23000940e-07   -9.89365159e-14   -7.38824798e-11   -2.22926959e-07
22       0.00000000e+00    2.00000000e-01   -2.60786438e-15    5.21572877e-15  -5.94832114e-143   -2.60786438e-15
23       1.00000000e-01    2.00000000e-01    1.06150835e-06    3.26229612e-15   -3.89923022e-91   -1.06150835e-06
24       2.00000000e-01    2.00000000e-01    1.27227627e-06    2.60651245e-15   -3.07774642e-90   -1.27227627e-06
25       3.00000000e-01    2.00000000e-01    1.46778855e-06    1.95887317e-15   -3.63498691e-13   -1.46778819e-06
26       4.00000000e-01    2.00000000e-01    1.67657013e-06    1.63116692e-16   -2.22131263e-12   -1.67656791e-06
27       5.00000000e-01    2.00000000e-01    1.90222391e-06   -2.78515968e-15   -6.49322256e-12   -1.90221741e-06
28       6.00000000e-01    2.00000000e-01    2.14620865e-06   -7.17232340e-15   -1.37155602e-11   -2.14619493e-06
29       7.00000000e-01    2.00000000e-01    2.40949031e-06   -1.36136896e-14   -2.38052557e-11   -2.40946650e-06
30       8.00000000e-01    2.00000000e-01    2.69283202e-06   -2.31969467e-14   -3.62099187e-11   -2.69279578e-06
31       9.00000000e-01    2.00000000e-01    2.99687678e-06   -3.77727636e-14   -5.02103979e-11   -2.99682653e-06
32       1.00000000e+00    2.00000000e-01    3.32217907e-06   -6.04984953e-14   -6.51555509e-11   -3.32211385e-06
33       0.00000000e+00    3.00000000e-01   -7.26430190e-15    1.45286038e-14  -3.82824622e-142   -7.26430190e-15
34       1.00000000e-01    3.00000000e-01    1.15363914e-05    9.80338333e-15   -3.89922900e-91   -1.15363914e-05
35       2.00000000e-01    3.00000000e-01    1.37024908e-05    7.86965787e-15   -3.07774585e-90   -1.37024908e-05
36       3.00000000e-01    3.00000000e-01    1.49599402e-05    7.24480795e-15   -1.00133352e-89   -1.49599402e-05
37       4.00000000e-01    3.00000000e-01    1.60968961e-05    6.64170328e-15   -8.05109730e-13   -1.60968953e-05
38       5.00000000e-01    3.00000000e-01    1.72088137e-05    4.89557042e-15   -3.91507777e-12   -1.72088097e-05
39       6.00000000e-01    3.00000000e-01    1.83205169e-05    1.99933499e-15   -9.79426164e-12   -1.83205072e-05
40       7.00000000e-01    3.00000000e-01    1.94416110e-05   -2.33447955e-15   -1.84986357e-11   -1.94415925e-05
41       8.00000000e-01    3.00000000e-01    2.05766084e-05   -8.72174396e-15   -2.96002876e-11   -2.05765788e-05
42       9.00000000e-01    3.00000000e-01    2.17278323e-05   -1.82504592e-14   -4.24535339e-11   -2.17277899e-05
43       1.00000000e+00    3.00000000e-01    2.28965067e-05   -3.27714845e-14   -5.64321787e-11   -2.28964502e-05
44       0.00000000e+00    4.00000000e-01   -1.76819445e-14    3.53638890e-14  -1.67945446e-141   -1.76819445e-14
45       1.00000000e-01    4.00000000e-01    3.74027326e-05    2.45651576e-14   -3.89922598e-91   -3.74027326e-05
46       2.00000000e-01    4.00000000e-01    4.96965858e-05    1.98416988e-14   -3.07774422e-90   -4.96965858e-05
47       3.00000000e-01    4.00000000e-01    5.40871746e-05    1.78532596e-14   -1.00133315e-89   -5.40871746e-05
48       4.00000000e-01    4.00000000e-01    5.69344119e-05    1.72474306e-14   -2.21784414e-89   -5.69344119e-05
49       5.00000000e-01    4.00000000e-01    5.93405415e-05    1.66918992e-14   -1.41901003e-12   -5.93405401e-05
50       6.00000000e-01    4.00000000e-01    6.15607061e-05    1.50031706e-14   -5.90543202e-12   -6.15607002e-05
51       7.00000000e-01    4.00000000e-01    6.36828010e-05    1.21686072e-14   -1.32098464e-11   -6.36827879e-05
52       8.00000000e-01    4.00000000e-01    6.57461250e-05    7.89865110e-15   -2.30018477e-11   -6.57461020e-05
53       9.00000000e-01    4.00000000e-01    6.77714094e-05    1.57648662e-15   -3.47042118e-11   -6.77713747e-05
54       1.00000000e+00    4.00000000e-01    6.97708483e-05   -7.88638025e-15   -4.77141254e-11   -6.97708006e-05
55       0.00000000e+00    5.00000000e-01   -3.80293007e-14    7.60586014e-14  -5.68285352e-141   -3.80293007e-14
56       1.00000000e-01    5.00000000e-01    6.59369905e-05    5.45904341e-14   -3.89922264e-91   -6.59369906e-05
57       2.00000000e-01    5.00000000e-01    9.95734261e-05    4.29304577e-14   -3.07774195e-90   -9.95734262e-05
58       3.00000000e-01    5.00000000e-01    1.12960004e-04    3.79837498e-14   -1.00133259e-89   -1.12960004e-04
59       4.00000000e-01    5.00000000e-01    1.19429439e-04    3.58058084e-14   -2.21784322e-89   -1.19429439e-04
60       5.00000000e-01    5.00000000e-01    1.23791997e-04    3.51638901e-14   -3.90896436e-89   -1.23791997e-04
61       6.00000000e-01    5.00000000e-01    1.27337789e-04    3.46354498e-14   -2.14040701e-12   -1.27337787e-04
62       7.00000000e-01    5.00000000e-01    1.30482631e-04    3.29990289e-14   -7.96485030e-12   -1.30482623e-04
63       8.00000000e-01    5.00000000e-01    1.33395147e-04    3.02281098e-14   -1.64255804e-11   -1.33395130e-04
64       9.00000000e-01    5.00000000e-01    1.36157077e-04    2.60275447e-14   -2.69680120e-11   -1.36157050e-04
65       1.00000000e+00    5.00000000e-01    1.38813558e-04    1.97780008e-14   -3.90045500e-11   -1.38813519e-04
66       0.00000000e+00    6.00000000e-01   -7.59005167e-14    1.51801033e-13  -1.63946080e-140   -7.59005167e-14
67       1.00000000e-01    6.00000000e-01    9.00893337e-05    1.11245053e-13   -3.89921982e-91   -9.00893339e-05
68       2.00000000e-01    6.00000000e-01    1.48319913e-04    8.61110831e-14   -3.07773973e-90   -1.48319913e-04
69       3.00000000e-01    6.00000000e-01    1.78037411e-04    7.33941717e-14   -1.00133197e-89   -1.78037411e-04
70       4.00000000e-01    6.00000000e-01    1.92339494e-04    6.77114303e-14   -2.21784215e-89   -1.92339494e-04
71       5.00000000e-01    6.00000000e-01    2.00485116e-04    6.51338251e-14   -3.90896292e-89   -2.00485116e-04
72       6.00000000e-01    6.00000000e-01    2.06177472e-04    6.43444967e-14   -5.89621242e-89   -2.06177472e-04
73       7.00000000e-01    6.00000000e-01    2.10731652e-04    6.37897891e-14   -2.88683464e-12   -2.10731649e-04
74       8.00000000e-01    6.00000000e-01    2.14670591e-04    6.21838910e-14   -9.90376809e-12   -2.14670581e-04
75       9.00000000e-01    6.00000000e-01    2.18234437e-04    5.94717652e-14   -1.92578092e-11   -2.18234418e-04
76       1.00000000e+00    6.00000000e-01    2.21548122e-04    5.53451239e-14   -3.03097243e-11   -2.21548092e-04
77       0.00000000e+00    7.00000000e-01   -1.45568371e-13    2.91136742e-13  -4.28929523e-140   -1.45568371e-13
78       1.00000000e-01    7.00000000e-01    1.08871260e-04    2.15433911e-13   -3.89921763e-91   -1.08871261e-04
