Index       TIME             V(BULK)          V(DRAIN)           V(GATE)          V(SOURCE)       {-I(VDRAIN)}       {-I(VGATE)}       {-I(VBULK)}      {-I(VSOURCE)}  
0        0.00000000e+00    0.00000000e+00    9.00000000e-01    0.00000000e+00    0.00000000e+00    1.03682882e-08   -9.96016852e-14   -6.57367589e-11   -1.03024518e-08
1        1.00000000e-08    0.00000000e+00    9.00000000e-01    0.00000000e+00    0.00000000e+00    1.03682882e-08   -9.96016852e-14   -6.57367589e-11   -1.03024518e-08
2        2.00000000e-08    0.00000000e+00    9.00000000e-01    1.00000000e-01    0.00000000e+00    2.68438066e-07    1.47632749e-09   -5.79721511e-11   -2.69856421e-07
3        3.00000000e-08    0.00000000e+00    9.00000000e-01    2.00000000e-01    0.00000000e+00    5.99263937e-06    1.83679268e-09   -5.02113196e-11   -5.99442595e-06
4        4.00000000e-08    0.00000000e+00    9.00000000e-01    3.00000000e-01    0.00000000e+00    3.35451876e-05    2.39339386e-09   -4.24584424e-11   -3.35475385e-05
5        5.00000000e-08    0.00000000e+00    9.00000000e-01    4.00000000e-01    0.00000000e+00    8.63240344e-05    3.05624072e-09   -3.47143774e-11   -8.63270560e-05
6        6.00000000e-08    0.00000000e+00    9.00000000e-01    5.00000000e-01    0.00000000e+00    1.39102881e-04    3.71908759e-09   -2.69703125e-11   -1.39106573e-04
7        7.00000000e-08    0.00000000e+00    9.00000000e-01    6.00000000e-01    0.00000000e+00    2.24467557e-04    3.88160723e-09   -2.13451022e-11   -2.24471418e-04
8        8.00000000e-08    0.00000000e+00    9.00000000e-01    7.00000000e-01    0.00000000e+00    3.14275755e-04    3.97590044e-09   -1.60088266e-11   -3.14279715e-04
9        9.00000000e-08    0.00000000e+00    9.00000000e-01    8.00000000e-01    0.00000000e+00    4.04083953e-04    4.07019364e-09   -1.06725511e-11   -4.04088013e-04
10       1.00000000e-07    0.00000000e+00    9.00000000e-01    9.00000000e-01    0.00000000e+00    4.93892152e-04    4.16448685e-09   -5.33627555e-12   -4.93896311e-04
11       1.10000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83700350e-04    4.25878005e-09    2.48800419e-25   -5.83704608e-04
12       1.20000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52681031e-13   -0.00000000e+00   -5.83702343e-04
13       1.30000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -0.00000000e+00   -5.83702343e-04
14       1.40000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -0.00000000e+00   -5.83702343e-04
15       1.50000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -2.35489796e-89   -5.83702343e-04
16       1.60000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -8.01571035e-89   -5.83702343e-04
17       1.70000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.36765228e-88   -5.83702343e-04
18       1.80000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.93373351e-88   -5.83702343e-04
19       1.90000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -2.22809576e-88   -5.83702343e-04
20       2.00000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.94505514e-88   -5.83702343e-04
21       2.10000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.66201452e-88   -5.83702343e-04
22       2.20000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.37897390e-88   -5.83702343e-04
23       2.30000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.09593328e-88   -5.83702343e-04
24       2.40000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -8.12892660e-89   -5.83702343e-04
25       2.50000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -5.29852040e-89   -5.83702343e-04
26       2.60000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -2.46811420e-89   -5.83702343e-04
27       2.70000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.97859734e-90   -5.83702343e-04
28       2.80000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.74363891e-89   -5.83702343e-04
29       2.90000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -3.28941808e-89   -5.83702343e-04
30       3.00000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -4.83519725e-89   -5.83702343e-04
31       3.10000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -6.38097642e-89   -5.83702343e-04
32       3.20000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -7.92675559e-89   -5.83702343e-04
33       3.30000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -9.47253476e-89   -5.83702343e-04
34       3.40000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.10183139e-88   -5.83702343e-04
35       3.50000000e-07    0.00000000e+00    9.00000000e-01    1.00000000e+00    0.00000000e+00    5.83702343e-04    4.52680930e-13   -1.25640931e-88   -5.83702343e-04
