Index       TIME             V(BULK)          V(DRAIN)           V(GATE)          V(SOURCE)       {-I(VDRAIN)}       {-I(VGATE)}       {-I(VBULK)}      {-I(VSOURCE)}  
0        0.00000000e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    1.26713041e-08   -1.59293913e-13   -8.26119055e-11   -1.25885329e-08
1        1.00000000e-08    0.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    1.26713041e-08   -1.59293913e-13   -8.26119055e-11   -1.25885329e-08
2        2.00000000e-08    0.00000000e+00    1.00000000e+00    1.00000000e-01    0.00000000e+00    3.10894525e-07    1.48069689e-09   -7.38826032e-11   -3.12301339e-07
3        3.00000000e-08    0.00000000e+00    1.00000000e+00    2.00000000e-01    0.00000000e+00    6.44964852e-06    1.85354125e-09   -6.51562474e-11   -6.45143691e-06
4        4.00000000e-08    0.00000000e+00    1.00000000e+00    3.00000000e-01    0.00000000e+00    3.46451757e-05    2.41036700e-09   -5.64354505e-11   -3.46475296e-05
5        5.00000000e-08    0.00000000e+00    1.00000000e+00    4.00000000e-01    0.00000000e+00    8.81935378e-05    3.05566313e-09   -4.77207170e-11   -8.81965457e-05
6        6.00000000e-08    0.00000000e+00    1.00000000e+00    5.00000000e-01    0.00000000e+00    1.41741900e-04    3.70095926e-09   -3.90059835e-11   -1.41745562e-04
7        7.00000000e-08    0.00000000e+00    1.00000000e+00    6.00000000e-01    0.00000000e+00    2.28440748e-04    3.86454283e-09   -3.11149307e-11   -2.28444581e-04
8        8.00000000e-08    0.00000000e+00    1.00000000e+00    7.00000000e-01    0.00000000e+00    3.19660116e-04    3.96243833e-09   -2.33361980e-11   -3.19664055e-04
9        9.00000000e-08    0.00000000e+00    1.00000000e+00    8.00000000e-01    0.00000000e+00    4.10879485e-04    4.06033382e-09   -1.55574654e-11   -4.10883530e-04
10       1.00000000e-07    0.00000000e+00    1.00000000e+00    9.00000000e-01    0.00000000e+00    5.02098853e-04    4.15822932e-09   -7.77873268e-12   -5.02103004e-04
11       1.10000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93318222e-04    4.25612481e-09   -3.16655078e-25   -5.93322478e-04
12       1.20000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476278e-13   -0.00000000e+00   -5.93320208e-04
13       1.30000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -0.00000000e+00   -5.93320208e-04
14       1.40000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -0.00000000e+00   -5.93320208e-04
15       1.50000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.64670389e-89   -5.93320208e-04
16       1.60000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -9.00897285e-89   -5.93320208e-04
17       1.70000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.53712418e-88   -5.93320208e-04
18       1.80000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.17335108e-88   -5.93320208e-04
19       1.90000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.50418906e-88   -5.93320208e-04
20       2.00000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.18607561e-88   -5.93320208e-04
21       2.10000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.86796217e-88   -5.93320208e-04
22       2.20000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.54984872e-88   -5.93320208e-04
23       2.30000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.23173527e-88   -5.93320208e-04
24       2.40000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -9.13621823e-89   -5.93320208e-04
25       2.50000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -5.95508375e-89   -5.93320208e-04
26       2.60000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.77394927e-89   -5.93320208e-04
27       2.70000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.22377418e-90   -5.93320208e-04
28       2.80000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.95970100e-89   -5.93320208e-04
29       2.90000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -3.69702457e-89   -5.93320208e-04
30       3.00000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -5.43434815e-89   -5.93320208e-04
31       3.10000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -7.17167173e-89   -5.93320208e-04
32       3.20000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -8.90899531e-89   -5.93320208e-04
33       3.30000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.06463189e-88   -5.93320208e-04
34       3.40000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.23836425e-88   -5.93320208e-04
35       3.50000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.41209660e-88   -5.93320208e-04
36       3.60000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.58582896e-88   -5.93320208e-04
37       3.70000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.75956132e-88   -5.93320208e-04
38       3.80000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -1.93329368e-88   -5.93320208e-04
39       3.90000000e-07    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    5.93320207e-04    4.47476177e-13   -2.10702603e-88   -5.93320208e-04
