i,  t,X1,X2,X3,X4,X5,
1,                    0,                   1,                   0,            0.999988,         1.26719e-08,        -2.37032e-13,                  33,                    0
2,                1e-08,                   1,                   0,            0.999988,         1.26719e-08,         7.37442e-08,                  33,                    0
3,                2e-08,                   1,                 0.1,            0.999755,         2.22918e-07,         9.16821e-09,                  39,                    0
4,                3e-08,                   1,                 0.2,            0.995703,         3.30776e-06,            1.01e-08,                  44,                    0
5,                4e-08,                   1,                 0.3,            0.961463,          2.2444e-05,         1.29347e-08,                  55,                    0
6,                5e-08,                   1,                 0.4,            0.597919,         6.15157e-05,         2.78774e-08,                 160,                    0
7,                6e-08,                   1,                 0.5,           0.0373947,         2.82676e-05,          2.2398e-08,                  40,                    0
8,                7e-08,                   1,                 0.6,          0.00622499,         6.32561e-06,         1.69648e-08,                  24,                    0
9,                8e-08,                   1,                 0.7,         0.000471719,         5.59363e-07,         1.82334e-08,                  16,                    0
10,                9e-08,                   1,                 0.8,         2.03198e-05,         2.66124e-08,         9.76951e-09,                  11,                    0
11,                1e-07,                   1,                 0.9,         7.51805e-07,         1.05547e-09,         6.97373e-09,                   7,                    0
12,              1.1e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         6.89034e-09,                   4,                    0
13,              1.2e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
14,              1.3e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
15,              1.4e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
16,              1.5e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
17,              1.6e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
18,              1.7e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
19,              1.8e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
20,              1.9e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
21,                2e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
22,              2.1e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
23,              2.2e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
24,              2.3e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
25,              2.4e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
26,              2.5e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
27,              2.6e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
28,              2.7e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
29,              2.8e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
30,              2.9e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
31,                3e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
32,              3.1e-07,                   1,                   1,         3.00312e-08,         4.41105e-11,         1.25009e-11,                   4,                    0
