i,  t,X1,X2,X3,X4,X5,
1,                    0,                   1,                   0,                   0,                  10,                   0,                   1,                    0
2,                1e-08,                   1,                   0,                  -0,                -0.1,                 0.1,                   1,                    0
3,                2e-08,                   1,                 0.1,           0.0499838,               -0.09,                0.09,                   1,                    0
4,                3e-08,                   1,                 0.2,           0.0999627,               -0.08,                0.08,                   1,                    0
5,                4e-08,                   1,                 0.3,            0.149938,               -0.07,                0.07,                   1,                    0
6,                5e-08,                   1,                 0.4,            0.199907,               -0.06,                0.06,                   1,                    0
7,                6e-08,                   1,                 0.5,             0.24987,               -0.05,                0.05,                   1,                    0
8,                7e-08,                   1,                 0.6,            0.299826,               -0.04,                0.04,                   1,                    0
9,                8e-08,                   1,                 0.7,            0.349774,               -0.03,                0.03,                   1,                    0
10,                9e-08,                   1,                 0.8,            0.399714,               -0.02,                0.02,                   1,                    0
11,                1e-07,                   1,                 0.9,            0.449647,               -0.01,                0.01,                   1,                    0
12,              1.1e-07,                   1,                   1,            0.499576,                   0,         1.26713e-08,                   1,                    0
13,              1.2e-07,                   1,                   1,            0.499603,                   0,         1.26713e-08,                   1,                    0
14,              1.3e-07,                   1,                   1,            0.499629,                   0,         1.26713e-08,                   1,                    0
15,              1.4e-07,                   1,                   1,            0.499656,                   0,         1.26713e-08,                   1,                    0
16,              1.5e-07,                   1,                   1,            0.499682,                   0,         1.26713e-08,                   1,                    0
17,              1.6e-07,                   1,                   1,            0.499709,                   0,         1.26713e-08,                   1,                    0
18,              1.7e-07,                   1,                   1,            0.499735,                   0,         1.26713e-08,                   1,                    0
19,              1.8e-07,                   1,                   1,            0.499761,                   0,         1.26713e-08,                   1,                    0
20,              1.9e-07,                   1,                   1,            0.499788,                   0,         1.26713e-08,                   1,                    0
21,                2e-07,                   1,                   1,            0.499814,                   0,         1.26713e-08,                   1,                    0
22,              2.1e-07,                   1,                   1,            0.499841,                   0,         1.26713e-08,                   1,                    0
23,              2.2e-07,                   1,                   1,            0.499867,                   0,         1.26713e-08,                   1,                    0
