i,  t,X1,X2,X3,
1,                    0,                   0,                   0,                   0,                   1,                    0
2,                1e-08,                   0,                   0,                   0,                   1,                    0
3,                2e-08,                 0.1,           0.0615385,        -0.000615385,                   1,                    0
4,                3e-08,                 0.2,           0.0994083,        -0.000994083,                   1,                    0
5,                4e-08,                 0.3,            0.122713,         -0.00122713,                   1,                    0
6,                5e-08,                 0.4,            0.137054,         -0.00137054,                   1,                    0
7,                6e-08,                 0.5,            0.145879,         -0.00145879,                   1,                    0
8,                7e-08,                 0.6,             0.15131,          -0.0015131,                   1,                    0
9,                8e-08,                 0.7,            0.154653,         -0.00154653,                   1,                    0
10,                9e-08,                 0.8,            0.156709,         -0.00156709,                   1,                    0
11,                1e-07,                 0.9,            0.157975,         -0.00157975,                   1,                    0
12,              1.1e-07,                   1,            0.158754,         -0.00158754,                   1,                    0
13,              1.2e-07,                   1,           0.0976946,        -0.000976946,                   1,                    0
14,              1.3e-07,                   1,           0.0601198,        -0.000601198,                   1,                    0
15,              1.4e-07,                   1,           0.0369968,        -0.000369968,                   1,                    0
16,              1.5e-07,                   1,           0.0227673,        -0.000227673,                   1,                    0
17,              1.6e-07,                   1,           0.0140106,        -0.000140106,                   1,                    0
18,              1.7e-07,                   1,          0.00862192,        -8.62192e-05,                   1,                    0
19,              1.8e-07,                   1,           0.0053058,         -5.3058e-05,                   1,                    0
20,              1.9e-07,                   1,          0.00326511,        -3.26511e-05,                   1,                    0
21,                2e-07,                   1,           0.0020093,         -2.0093e-05,                   1,                    0
22,              2.1e-07,                   1,          0.00123649,        -1.23649e-05,                   1,                    0
23,              2.2e-07,                   1,         0.000760917,        -7.60917e-06,                   1,                    0
24,              2.3e-07,                   1,         0.000468256,        -4.68256e-06,                   1,                    0
25,              2.4e-07,                   1,         0.000288158,        -2.88158e-06,                   1,                    0
26,              2.5e-07,                   1,         0.000177328,        -1.77328e-06,                   1,                    0
27,              2.6e-07,                   1,         0.000109125,        -1.09125e-06,                   1,                    0
28,              2.7e-07,                   1,         6.71538e-05,        -6.71538e-07,                   1,                    0
29,              2.8e-07,                   1,         4.13254e-05,        -4.13254e-07,                   1,                    0
30,              2.9e-07,                   1,          2.5431e-05,         -2.5431e-07,                   1,                    0
31,                3e-07,                   1,         1.56499e-05,        -1.56499e-07,                   1,                    0
32,              3.1e-07,                   1,         9.63068e-06,        -9.63068e-08,                   1,                    0
33,              3.2e-07,                   1,         5.92657e-06,        -5.92657e-08,                   1,                    0
34,              3.3e-07,                   1,         3.64712e-06,        -3.64712e-08,                   1,                    0
35,              3.4e-07,                   1,         2.24438e-06,        -2.24438e-08,                   1,                    0
36,              3.5e-07,                   1,         1.38116e-06,        -1.38116e-08,                   1,                    0
37,              3.6e-07,                   1,         8.49943e-07,        -8.49943e-09,                   1,                    0
38,              3.7e-07,                   1,         5.23042e-07,        -5.23042e-09,                   1,                    0
39,              3.8e-07,                   1,         3.21872e-07,        -3.21872e-09,                   1,                    0
40,              3.9e-07,                   1,         1.98075e-07,        -1.98075e-09,                   1,                    0
41,                4e-07,                   1,         1.21892e-07,        -1.21892e-09,                   1,                    0
42,              4.1e-07,                   1,         7.50107e-08,        -7.50107e-10,                   1,                    0
43,              4.2e-07,                   1,         4.61604e-08,        -4.61604e-10,                   1,                    0
44,              4.3e-07,                   1,         2.84064e-08,        -2.84064e-10,                   1,                    0
45,              4.4e-07,                   1,         1.74809e-08,        -1.74809e-10,                   1,                    0
46,              4.5e-07,                   1,         1.07575e-08,        -1.07575e-10,                   1,                    0
47,              4.6e-07,                   1,         6.61998e-09,        -6.61998e-11,                   1,                    0
48,              4.7e-07,                   1,         4.07383e-09,        -4.07383e-11,                   1,                    0
49,              4.8e-07,                   1,         2.50697e-09,        -2.50697e-11,                   1,                    0
50,              4.9e-07,                   1,         1.54275e-09,        -1.54275e-11,                   1,                    0
51,                5e-07,                   1,         9.49386e-10,        -9.49386e-12,                   1,                    0
52,              5.1e-07,                   1,         5.84238e-10,        -5.84238e-12,                   1,                    0
53,              5.2e-07,                 0.9,          -0.0615385,         0.000615385,                   1,                    0
54,              5.3e-07,                 0.8,          -0.0994083,         0.000994083,                   1,                    0
55,              5.4e-07,                 0.7,           -0.122713,          0.00122713,                   1,                    0
56,              5.5e-07,                 0.6,           -0.137054,          0.00137054,                   1,                    0
57,              5.6e-07,                 0.5,           -0.145879,          0.00145879,                   1,                    0
58,              5.7e-07,                 0.4,            -0.15131,           0.0015131,                   1,                    0
59,              5.8e-07,                 0.3,           -0.154653,          0.00154653,                   1,                    0
60,              5.9e-07,                 0.2,           -0.156709,          0.00156709,                   1,                    0
61,                6e-07,                 0.1,           -0.157975,          0.00157975,                   1,                    0
62,              6.1e-07,                   0,           -0.158754,          0.00158754,                   1,                    0
63,              6.2e-07,                -0.1,           -0.159233,          0.00159233,                   1,                    0
64,              6.3e-07,                -0.2,           -0.159528,          0.00159528,                   1,                    0
65,              6.4e-07,                -0.3,            -0.15971,           0.0015971,                   1,                    0
66,              6.5e-07,                -0.4,           -0.159821,          0.00159821,                   1,                    0
67,              6.6e-07,                -0.5,            -0.15989,           0.0015989,                   1,                    0
68,              6.7e-07,                -0.6,           -0.159932,          0.00159932,                   1,                    0
69,              6.8e-07,                -0.7,           -0.159958,          0.00159958,                   1,                    0
70,              6.9e-07,                -0.8,           -0.159974,          0.00159974,                   1,                    0
71,                7e-07,                -0.9,           -0.159984,          0.00159984,                   1,                    0
72,              7.1e-07,                  -1,            -0.15999,           0.0015999,                   1,                    0
73,              7.2e-07,                  -1,          -0.0984556,         0.000984556,                   1,                    0
74,              7.3e-07,                  -1,           -0.060588,          0.00060588,                   1,                    0
75,              7.4e-07,                  -1,          -0.0372849,         0.000372849,                   1,                    0
76,              7.5e-07,                  -1,          -0.0229446,         0.000229446,                   1,                    0
77,              7.6e-07,                  -1,          -0.0141197,         0.000141197,                   1,                    0
78,              7.7e-07,                  -1,         -0.00868907,         8.68907e-05,                   1,                    0
79,              7.8e-07,                  -1,         -0.00534712,         5.34712e-05,                   1,                    0
80,              7.9e-07,                  -1,         -0.00329054,         3.29054e-05,                   1,                    0
81,                8e-07,                  -1,         -0.00202495,         2.02495e-05,                   1,                    0
82,              8.1e-07,                  -1,         -0.00124612,         1.24612e-05,                   1,                    0
83,              8.2e-07,                  -1,        -0.000766843,         7.66843e-06,                   1,                    0
84,              8.3e-07,                  -1,        -0.000471904,         4.71904e-06,                   1,                    0
85,              8.4e-07,                  -1,        -0.000290402,         2.90402e-06,                   1,                    0
86,              8.5e-07,                  -1,        -0.000178709,         1.78709e-06,                   1,                    0
87,              8.6e-07,                  -1,        -0.000109975,         1.09975e-06,                   1,                    0
88,              8.7e-07,                  -1,        -6.76768e-05,         6.76768e-07,                   1,                    0
89,              8.8e-07,                  -1,        -4.16473e-05,         4.16473e-07,                   1,                    0
90,              8.9e-07,                  -1,        -2.56291e-05,         2.56291e-07,                   1,                    0
91,                9e-07,                  -1,        -1.57717e-05,         1.57717e-07,                   1,                    0
92,              9.1e-07,                  -1,        -9.70569e-06,         9.70569e-08,                   1,                    0
93,              9.2e-07,                  -1,        -5.97273e-06,         5.97273e-08,                   1,                    0
94,              9.3e-07,                  -1,        -3.67553e-06,         3.67553e-08,                   1,                    0
95,              9.4e-07,                  -1,        -2.26186e-06,         2.26186e-08,                   1,                    0
96,              9.5e-07,                  -1,        -1.39192e-06,         1.39192e-08,                   1,                    0
97,              9.6e-07,                  -1,        -8.56563e-07,         8.56563e-09,                   1,                    0
98,              9.7e-07,                  -1,        -5.27116e-07,         5.27116e-09,                   1,                    0
99,              9.8e-07,                  -1,        -3.24379e-07,         3.24379e-09,                   1,                    0
100,              9.9e-07,                  -1,        -1.99618e-07,         1.99618e-09,                   1,                    0
101,                1e-06,                  -1,        -1.22842e-07,         1.22842e-09,                   1,                    0
102,             1.01e-06,                  -1,        -7.55949e-08,         7.55949e-10,                   1,                    0
103,             1.02e-06,                  -1,          -4.652e-08,           4.652e-10,                   1,                    0
104,             1.03e-06,                  -1,        -2.86277e-08,         2.86277e-10,                   1,                    0
105,             1.04e-06,                  -1,         -1.7617e-08,          1.7617e-10,                   1,                    0
106,             1.05e-06,                  -1,        -1.08412e-08,         1.08412e-10,                   1,                    0
107,             1.06e-06,                  -1,        -6.67154e-09,         6.67154e-11,                   1,                    0
108,             1.07e-06,                  -1,        -4.10556e-09,         4.10556e-11,                   1,                    0
109,             1.08e-06,                  -1,         -2.5265e-09,          2.5265e-11,                   1,                    0
110,             1.09e-06,                  -1,        -1.55477e-09,         1.55477e-11,                   1,                    0
111,              1.1e-06,                  -1,        -9.56781e-10,         9.56781e-12,                   1,                    0
112,             1.11e-06,                  -1,        -5.88788e-10,         5.88788e-12,                   1,                    0
113,             1.12e-06,                -0.9,           0.0615385,        -0.000615385,                   1,                    0
114,             1.13e-06,                -0.8,           0.0994083,        -0.000994083,                   1,                    0
115,             1.14e-06,                -0.7,            0.122713,         -0.00122713,                   1,                    0
116,             1.15e-06,                -0.6,            0.137054,         -0.00137054,                   1,                    0
117,             1.16e-06,                -0.5,            0.145879,         -0.00145879,                   1,                    0
118,             1.17e-06,                -0.4,             0.15131,          -0.0015131,                   1,                    0
119,             1.18e-06,                -0.3,            0.154653,         -0.00154653,                   1,                    0
120,             1.19e-06,                -0.2,            0.156709,         -0.00156709,                   1,                    0
121,              1.2e-06,                -0.1,            0.157975,         -0.00157975,                   1,                    0
122,             1.21e-06,                   0,            0.158754,         -0.00158754,                   1,                    0
123,             1.22e-06,                   0,           0.0976946,        -0.000976946,                   1,                    0
124,             1.23e-06,                   0,           0.0601198,        -0.000601198,                   1,                    0
125,             1.24e-06,                   0,           0.0369968,        -0.000369968,                   1,                    0
126,             1.25e-06,                   0,           0.0227673,        -0.000227673,                   1,                    0
127,             1.26e-06,                   0,           0.0140106,        -0.000140106,                   1,                    0
128,             1.27e-06,                   0,          0.00862192,        -8.62192e-05,                   1,                    0
129,             1.28e-06,                   0,           0.0053058,         -5.3058e-05,                   1,                    0
130,             1.29e-06,                   0,          0.00326511,        -3.26511e-05,                   1,                    0
131,              1.3e-06,                   0,           0.0020093,         -2.0093e-05,                   1,                    0
132,             1.31e-06,                   0,          0.00123649,        -1.23649e-05,                   1,                    0
133,             1.32e-06,                   0,         0.000760917,        -7.60917e-06,                   1,                    0
134,             1.33e-06,                   0,         0.000468256,        -4.68256e-06,                   1,                    0
135,             1.34e-06,                   0,         0.000288158,        -2.88158e-06,                   1,                    0
136,             1.35e-06,                   0,         0.000177328,        -1.77328e-06,                   1,                    0
137,             1.36e-06,                   0,         0.000109125,        -1.09125e-06,                   1,                    0
138,             1.37e-06,                   0,         6.71538e-05,        -6.71538e-07,                   1,                    0
139,             1.38e-06,                   0,         4.13254e-05,        -4.13254e-07,                   1,                    0
140,             1.39e-06,                   0,          2.5431e-05,         -2.5431e-07,                   1,                    0
141,              1.4e-06,                   0,         1.56499e-05,        -1.56499e-07,                   1,                    0
142,             1.41e-06,                   0,         9.63068e-06,        -9.63068e-08,                   1,                    0
143,             1.42e-06,                   0,         5.92657e-06,        -5.92657e-08,                   1,                    0
144,             1.43e-06,                   0,         3.64712e-06,        -3.64712e-08,                   1,                    0
145,             1.44e-06,                   0,         2.24438e-06,        -2.24438e-08,                   1,                    0
146,             1.45e-06,                   0,         1.38116e-06,        -1.38116e-08,                   1,                    0
147,             1.46e-06,                   0,         8.49943e-07,        -8.49943e-09,                   1,                    0
148,             1.47e-06,                   0,         5.23042e-07,        -5.23042e-09,                   1,                    0
149,             1.48e-06,                   0,         3.21872e-07,        -3.21872e-09,                   1,                    0
150,             1.49e-06,                   0,         1.98075e-07,        -1.98075e-09,                   1,                    0
151,              1.5e-06,                   0,         1.21892e-07,        -1.21892e-09,                   1,                    0
