i,  t,X1,X2,X3,
1,                    0,                   0,                   0,                   0,                   1,                    0
2,                1e-08,                   0,                   0,                   0,                   1,                    0
3,                2e-08,                 0.1,          0.00909091,        -9.09091e-05,                   2,                    0
4,                3e-08,                 0.2,           0.0264463,        -0.000173554,                   2,                    0
5,                4e-08,                 0.3,           0.0513148,        -0.000248685,                   2,                    0
6,                5e-08,                 0.4,           0.0830135,        -0.000316987,                   2,                    0
7,                6e-08,                 0.5,            0.120921,        -0.000379079,                   2,                    0
8,                7e-08,                 0.6,            0.164474,        -0.000435526,                   2,                    0
9,                8e-08,                 0.7,            0.213158,        -0.000486842,                   2,                    0
10,                9e-08,                 0.8,            0.266507,        -0.000533493,                   2,                    0
11,                1e-07,                 0.9,            0.324098,        -0.000575902,                   2,                    0
12,              1.1e-07,                   1,            0.385543,        -0.000614457,                   2,                    0
13,              1.2e-07,                   1,            0.441403,        -0.000558597,                   2,                    0
14,              1.3e-07,                   1,            0.492185,        -0.000507815,                   2,                    0
15,              1.4e-07,                   1,             0.53835,         -0.00046165,                   2,                    0
16,              1.5e-07,                   1,            0.580318,        -0.000419682,                   2,                    0
17,              1.6e-07,                   1,            0.618471,        -0.000381529,                   2,                    0
18,              1.7e-07,                   1,            0.653155,        -0.000346845,                   2,                    0
19,              1.8e-07,                   1,            0.684687,        -0.000315313,                   2,                    0
20,              1.9e-07,                   1,            0.713351,        -0.000286649,                   2,                    0
21,                2e-07,                   1,             0.73941,         -0.00026059,                   2,                    0
22,              2.1e-07,                   1,              0.7631,          -0.0002369,                   2,                    0
23,              2.2e-07,                   1,            0.784637,        -0.000215363,                   2,                    0
24,              2.3e-07,                   1,            0.804215,        -0.000195785,                   2,                    0
25,              2.4e-07,                   1,            0.822014,        -0.000177986,                   2,                    0
26,              2.5e-07,                   1,            0.838194,        -0.000161806,                   2,                    0
27,              2.6e-07,                   1,            0.852904,        -0.000147096,                   2,                    0
28,              2.7e-07,                   1,            0.866276,        -0.000133724,                   2,                    0
29,              2.8e-07,                   1,            0.878433,        -0.000121567,                   2,                    0
30,              2.9e-07,                   1,            0.889485,        -0.000110515,                   2,                    0
31,                3e-07,                   1,            0.899531,        -0.000100469,                   2,                    0
32,              3.1e-07,                   1,            0.908665,        -9.13351e-05,                   2,                    0
33,              3.2e-07,                   1,            0.916968,        -8.30319e-05,                   2,                    0
34,              3.3e-07,                   1,            0.924516,        -7.54835e-05,                   2,                    0
35,              3.4e-07,                   1,            0.931379,        -6.86214e-05,                   2,                    0
36,              3.5e-07,                   1,            0.937617,        -6.23831e-05,                   2,                    0
37,              3.6e-07,                   1,            0.943288,        -5.67119e-05,                   2,                    0
38,              3.7e-07,                   1,            0.948444,        -5.15563e-05,                   2,                    0
39,              3.8e-07,                   1,            0.953131,        -4.68693e-05,                   2,                    0
40,              3.9e-07,                   1,            0.957392,        -4.26085e-05,                   2,                    0
41,                4e-07,                   1,            0.961265,         -3.8735e-05,                   2,                    0
42,              4.1e-07,                   1,            0.964786,        -3.52136e-05,                   2,                    0
43,              4.2e-07,                   1,            0.967988,        -3.20124e-05,                   2,                    0
44,              4.3e-07,                   1,            0.970898,        -2.91022e-05,                   2,                    0
45,              4.4e-07,                   1,            0.973543,        -2.64565e-05,                   2,                    0
46,              4.5e-07,                   1,            0.975949,        -2.40514e-05,                   2,                    0
47,              4.6e-07,                   1,            0.978135,        -2.18649e-05,                   2,                    0
48,              4.7e-07,                   1,            0.980123,        -1.98772e-05,                   2,                    0
49,              4.8e-07,                   1,             0.98193,        -1.80702e-05,                   2,                    0
50,              4.9e-07,                   1,            0.983573,        -1.64274e-05,                   2,                    0
51,                5e-07,                   1,            0.985066,         -1.4934e-05,                   2,                    0
52,              5.1e-07,                   1,            0.986424,        -1.35764e-05,                   2,                    0
53,              5.2e-07,                 0.9,            0.978567,         7.85669e-05,                   2,                    0
54,              5.3e-07,                 0.8,            0.962334,         0.000162334,                   2,                    0
55,              5.4e-07,                 0.7,            0.938485,         0.000238485,                   2,                    0
56,              5.5e-07,                 0.6,            0.907714,         0.000307714,                   2,                    0
57,              5.6e-07,                 0.5,            0.870649,         0.000370649,                   2,                    0
58,              5.7e-07,                 0.4,            0.827863,         0.000427863,                   2,                    0
59,              5.8e-07,                 0.3,            0.779875,         0.000479875,                   2,                    0
60,              5.9e-07,                 0.2,            0.727159,         0.000527159,                   2,                    0
61,                6e-07,                 0.1,            0.670145,         0.000570145,                   2,                    0
62,              6.1e-07,                   0,            0.609222,         0.000609222,                   1,                    0
63,              6.2e-07,                -0.1,            0.544748,         0.000644748,                   2,                    0
64,              6.3e-07,                -0.2,            0.477043,         0.000677043,                   2,                    0
65,              6.4e-07,                -0.3,            0.406403,         0.000706403,                   2,                    0
66,              6.5e-07,                -0.4,            0.333094,         0.000733094,                   2,                    0
67,              6.6e-07,                -0.5,            0.257358,         0.000757358,                   2,                    0
68,              6.7e-07,                -0.6,            0.179416,         0.000779416,                   2,                    0
69,              6.8e-07,                -0.7,           0.0994693,         0.000799469,                   2,                    0
70,              6.9e-07,                -0.8,           0.0176994,         0.000817699,                   2,                    0
71,                7e-07,                -0.9,          -0.0657278,         0.000834272,                   2,                    0
72,              7.1e-07,                  -1,           -0.150662,         0.000849338,                   2,                    0
73,              7.2e-07,                  -1,           -0.227874,         0.000772126,                   2,                    0
74,              7.3e-07,                  -1,           -0.298067,         0.000701933,                   2,                    0
75,              7.4e-07,                  -1,            -0.36188,          0.00063812,                   2,                    0
76,              7.5e-07,                  -1,            -0.41989,          0.00058011,                   2,                    0
77,              7.6e-07,                  -1,           -0.472628,         0.000527372,                   2,                    0
78,              7.7e-07,                  -1,           -0.520571,         0.000479429,                   2,                    0
79,              7.8e-07,                  -1,           -0.564155,         0.000435845,                   2,                    0
80,              7.9e-07,                  -1,           -0.603777,         0.000396223,                   2,                    0
81,                8e-07,                  -1,           -0.639798,         0.000360202,                   2,                    0
82,              8.1e-07,                  -1,           -0.672543,         0.000327457,                   2,                    0
83,              8.2e-07,                  -1,           -0.702312,         0.000297688,                   2,                    0
84,              8.3e-07,                  -1,           -0.729375,         0.000270625,                   2,                    0
85,              8.4e-07,                  -1,           -0.753977,         0.000246023,                   2,                    0
86,              8.5e-07,                  -1,           -0.776343,         0.000223657,                   2,                    0
87,              8.6e-07,                  -1,           -0.796675,         0.000203325,                   2,                    0
88,              8.7e-07,                  -1,           -0.815159,         0.000184841,                   2,                    0
89,              8.8e-07,                  -1,           -0.831963,         0.000168037,                   2,                    0
90,              8.9e-07,                  -1,           -0.847239,         0.000152761,                   2,                    0
91,                9e-07,                  -1,           -0.861126,         0.000138874,                   2,                    0
92,              9.1e-07,                  -1,           -0.873751,         0.000126249,                   2,                    0
93,              9.2e-07,                  -1,           -0.885228,         0.000114772,                   2,                    0
94,              9.3e-07,                  -1,           -0.895662,         0.000104338,                   2,                    0
95,              9.4e-07,                  -1,           -0.905147,         9.48525e-05,                   2,                    0
96,              9.5e-07,                  -1,            -0.91377,         8.62296e-05,                   2,                    0
97,              9.6e-07,                  -1,           -0.921609,         7.83905e-05,                   2,                    0
98,              9.7e-07,                  -1,           -0.928736,         7.12641e-05,                   2,                    0
99,              9.8e-07,                  -1,           -0.935214,         6.47856e-05,                   2,                    0
100,              9.9e-07,                  -1,           -0.941104,          5.8896e-05,                   2,                    0
101,                1e-06,                  -1,           -0.946458,         5.35418e-05,                   2,                    0
102,             1.01e-06,                  -1,           -0.951326,         4.86744e-05,                   2,                    0
103,             1.02e-06,                  -1,           -0.955751,         4.42494e-05,                   2,                    0
104,             1.03e-06,                  -1,           -0.959773,         4.02267e-05,                   2,                    0
105,             1.04e-06,                  -1,            -0.96343,         3.65698e-05,                   2,                    0
106,             1.05e-06,                  -1,           -0.966755,         3.32452e-05,                   2,                    0
107,             1.06e-06,                  -1,           -0.969777,         3.02229e-05,                   2,                    0
108,             1.07e-06,                  -1,           -0.972525,         2.74754e-05,                   2,                    0
109,             1.08e-06,                  -1,           -0.975022,         2.49776e-05,                   2,                    0
110,             1.09e-06,                  -1,           -0.977293,         2.27069e-05,                   2,                    0
111,              1.1e-06,                  -1,           -0.979357,         2.06427e-05,                   2,                    0
112,             1.11e-06,                  -1,           -0.981234,         1.87661e-05,                   2,                    0
113,             1.12e-06,                -0.9,           -0.973849,         -7.3849e-05,                   2,                    0
114,             1.13e-06,                -0.8,           -0.958045,        -0.000158045,                   2,                    0
115,             1.14e-06,                -0.7,           -0.934586,        -0.000234586,                   2,                    0
116,             1.15e-06,                -0.6,           -0.904169,        -0.000304169,                   2,                    0
117,             1.16e-06,                -0.5,           -0.867426,        -0.000367426,                   2,                    0
118,             1.17e-06,                -0.4,           -0.824933,        -0.000424933,                   2,                    0
119,             1.18e-06,                -0.3,           -0.777212,        -0.000477212,                   2,                    0
120,             1.19e-06,                -0.2,           -0.724738,        -0.000524738,                   2,                    0
121,              1.2e-06,                -0.1,           -0.667944,        -0.000567944,                   2,                    0
122,             1.21e-06,                   0,           -0.607222,        -0.000607222,                   1,                    0
123,             1.22e-06,                   0,            -0.55202,         -0.00055202,                   1,                    0
124,             1.23e-06,                   0,           -0.501836,        -0.000501836,                   1,                    0
125,             1.24e-06,                   0,           -0.456215,        -0.000456215,                   1,                    0
126,             1.25e-06,                   0,           -0.414741,        -0.000414741,                   1,                    0
127,             1.26e-06,                   0,           -0.377037,        -0.000377037,                   1,                    0
128,             1.27e-06,                   0,           -0.342761,        -0.000342761,                   1,                    0
129,             1.28e-06,                   0,           -0.311601,        -0.000311601,                   1,                    0
130,             1.29e-06,                   0,           -0.283273,        -0.000283273,                   1,                    0
131,              1.3e-06,                   0,           -0.257521,        -0.000257521,                   1,                    0
132,             1.31e-06,                   0,            -0.23411,         -0.00023411,                   1,                    0
133,             1.32e-06,                   0,           -0.212827,        -0.000212827,                   1,                    0
134,             1.33e-06,                   0,            -0.19348,         -0.00019348,                   1,                    0
135,             1.34e-06,                   0,            -0.17589,         -0.00017589,                   1,                    0
136,             1.35e-06,                   0,             -0.1599,          -0.0001599,                   1,                    0
137,             1.36e-06,                   0,           -0.145364,        -0.000145364,                   1,                    0
138,             1.37e-06,                   0,           -0.132149,        -0.000132149,                   1,                    0
139,             1.38e-06,                   0,           -0.120136,        -0.000120136,                   1,                    0
140,             1.39e-06,                   0,           -0.109214,        -0.000109214,                   1,                    0
141,              1.4e-06,                   0,          -0.0992856,        -9.92856e-05,                   1,                    0
142,             1.41e-06,                   0,          -0.0902596,        -9.02596e-05,                   1,                    0
143,             1.42e-06,                   0,          -0.0820542,        -8.20542e-05,                   1,                    0
144,             1.43e-06,                   0,          -0.0745947,        -7.45947e-05,                   1,                    0
145,             1.44e-06,                   0,          -0.0678134,        -6.78134e-05,                   1,                    0
146,             1.45e-06,                   0,          -0.0616485,        -6.16485e-05,                   1,                    0
147,             1.46e-06,                   0,          -0.0560441,        -5.60441e-05,                   1,                    0
148,             1.47e-06,                   0,          -0.0509492,        -5.09492e-05,                   1,                    0
149,             1.48e-06,                   0,          -0.0463175,        -4.63175e-05,                   1,                    0
150,             1.49e-06,                   0,          -0.0421068,        -4.21068e-05,                   1,                    0
151,              1.5e-06,                   0,          -0.0382789,        -3.82789e-05,                   1,                    0
